month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
3,1006.833333333,0.0,2014,0,0.025118864315095794,DD
4,1007.333333333,0.0,2014,0,0.025118864315095794,DD
5,1003.933333333,0.0,2014,0,0.025118864315095794,DD
6,1004.033333333,0.0,2014,0,0.025118864315095794,DD
7,1006.1,0.0,2014,0,0.025118864315095794,DD
8,1011.0,0.0,2014,0,0.025118864315095794,DD
9,1011.3,0.0,2014,0,0.025118864315095794,DD
10,1009.733333333,0.0,2014,0,0.025118864315095794,DD
11,1001.5,0.0,2014,0,0.025118864315095794,DD
12,994.5,0.0,2014,0,0.025118864315095794,DD
1,1001.9,0.0,2015,0,0.025118864315095794,DD
2,1006.233333333,0.0,2015,0,0.025118864315095794,DD
3,1011.733333333,0.0,2015,0,0.025118864315095794,DD
4,1010.966666667,0.0,2015,0,0.025118864315095794,DD
5,1006.633333333,0.0,2015,0,0.025118864315095794,DD
6,1005.733333333,0.0,2015,0,0.025118864315095794,DD
7,1007.566666667,0.0,2015,0,0.025118864315095794,DD
8,998.7333333333,0.0,2015,0,0.025118864315095794,DD
9,990.6,0.0,2015,0,0.025118864315095794,DD
10,986.9333333333,0.0,2015,0,0.025118864315095794,DD
11,985.8,0.0,2015,0,0.025118864315095794,DD
12,988.4333333333,0.0,2015,0,0.025118864315095794,DD
1,994.4,0.0,2016,0,0.025118864315095794,DD
2,986.3333333333,0.0,2016,0,0.025118864315095794,DD
3,982.4333333333,0.0,2016,0,0.025118864315095794,DD
4,982.3333333333,0.0,2016,0,0.025118864315095794,DD
5,981.8666666667,0.0,2016,0,0.025118864315095794,DD
6,979.1666666667,0.0,2016,0,0.025118864315095794,DD
7,978.1333333333,0.0,2016,0,0.025118864315095794,DD
8,977.5,0.0,2016,0,0.025118864315095794,DD
9,974.6666666667,0.0,2016,0,0.025118864315095794,DD
10,978.5,0.0,2016,0,0.025118864315095794,DD
11,981.6333333333,0.0,2016,0,0.025118864315095794,DD
12,991.2333333333,0.0,2016,0,0.025118864315095794,DD
1,993.9,0.0,2017,0,0.025118864315095794,DD
2,994.9333333333,0.0,2017,0,0.025118864315095794,DD
3,993.1666666667,0.0,2017,0,0.025118864315095794,DD
4,1001.3,0.0,2017,0,0.025118864315095794,DD
5,1003.433333333,0.0,2017,0,0.025118864315095794,DD
6,1005.533333333,0.0,2017,0,0.025118864315095794,DD
7,999.5,0.0,2017,0,0.025118864315095794,DD
8,998.6333333333,0.0,2017,0,0.025118864315095794,DD
